ev,evGol,dep,depGol
KASIMPASA A.Ş.,1,KAYSERISPOR,2
GAZİANTEPSPOR,1,SANİCA BORU ELAZIĞSPOR,1
BESIKTAS,3,GENÇLERBİRLİĞİ,0
ANTALYASPOR,1,ORDUSPOR,0
FENERBAHCE,2,GALATASARAY,1
AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,MERSİN İDMANYURDU,0
SIVASSPOR,2,KARDEMİR D.Ç. KARABÜKSPOR,1
TRABZONSPOR,4,BASAKSEHIR,3
BURSASPOR,0,ESKİŞEHİRSPOR,0
MERSİN İDMANYURDU,1,GAZİANTEPSPOR,2
BASAKSEHIR,1,KASIMPASA A.Ş.,2
KARDEMİR D.Ç. KARABÜKSPOR,3,FENERBAHCE,2
ORDUSPOR,0,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2
GALATASARAY,2,TRABZONSPOR,0
SANİCA BORU ELAZIĞSPOR,0,SIVASSPOR,0
GENÇLERBİRLİĞİ,2,BURSASPOR,2
ESKİŞEHİRSPOR,3,ANTALYASPOR,1
KAYSERISPOR,2,BESIKTAS,0
ANTALYASPOR,0,KAYSERİ ERCİYESSPOR,0
KARDEMİR D.Ç. KARABÜKSPOR,2,KASIMPASA A.Ş.,0
RIZESPOR,1,GENÇLERBİRLİĞİ,0
KONYASPOR,3,FENERBAHCE,2
AKHİSAR BELEDİYE GENÇLİK VE SPOR,3,SANİCA BORU ELAZIĞSPOR,1
ESKİŞEHİRSPOR,2,BURSASPOR,0
BESIKTAS,2,TRABZONSPOR,0
KAYSERISPOR,1,SIVASSPOR,0
GALATASARAY,2,GAZİANTEPSPOR,1
GENÇLERBİRLİĞİ,3,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
KASIMPASA A.Ş.,3,KAYSERISPOR,1
GAZİANTEPSPOR,0,ANTALYASPOR,0
FENERBAHCE,1,ESKİŞEHİRSPOR,0
SANİCA BORU ELAZIĞSPOR,2,KARDEMİR D.Ç. KARABÜKSPOR,2
SIVASSPOR,2,KONYASPOR,0
BURSASPOR,1,GALATASARAY,1
TRABZONSPOR,2,RIZESPOR,1
KAYSERİ ERCİYESSPOR,2,BESIKTAS,4
KONYASPOR,1,KASIMPASA A.Ş.,2
ESKİŞEHİRSPOR,0,GALATASARAY,0
KAYSERISPOR,1,SANİCA BORU ELAZIĞSPOR,3
ANTALYASPOR,1,BURSASPOR,2
FENERBAHCE,5,SIVASSPOR,2
BESIKTAS,2,GAZİANTEPSPOR,0
KARDEMİR D.Ç. KARABÜKSPOR,1,GENÇLERBİRLİĞİ,0
RIZESPOR,2,KAYSERİ ERCİYESSPOR,1
AKHİSAR BELEDİYE GENÇLİK VE SPOR,3,TRABZONSPOR,0
GALATASARAY,1,ANTALYASPOR,1
KAYSERİ ERCİYESSPOR,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
TRABZONSPOR,1,KARDEMİR D.Ç. KARABÜKSPOR,0
GAZİANTEPSPOR,2,RIZESPOR,5
GENÇLERBİRLİĞİ,1,KAYSERISPOR,1
SIVASSPOR,3,ESKİŞEHİRSPOR,2
SANİCA BORU ELAZIĞSPOR,2,KONYASPOR,0
BURSASPOR,0,BESIKTAS,3
KASIMPASA A.Ş.,2,FENERBAHCE,3
KARDEMİR D.Ç. KARABÜKSPOR,0,KAYSERİ ERCİYESSPOR,0
AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,GAZİANTEPSPOR,0
KONYASPOR,1,GENÇLERBİRLİĞİ,0
SIVASSPOR,1,KASIMPASA A.Ş.,2
FENERBAHCE,4,SANİCA BORU ELAZIĞSPOR,0
ESKİŞEHİRSPOR,2,ANTALYASPOR,1
RIZESPOR,2,BURSASPOR,1
BESIKTAS,0,GALATASARAY,3
KAYSERISPOR,0,TRABZONSPOR,1
BURSASPOR,0,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
GALATASARAY,1,RIZESPOR,1
GAZİANTEPSPOR,3,KARDEMİR KARABÜKSPOR,0
SANİCA BORU ELAZIĞSPOR,2,SIVASSPOR,4
TRABZONSPOR,2,KONYASPOR,0
KASIMPASA A.Ş.,0,ESKİŞEHİRSPOR,2
GENÇLERBİRLİĞİ,0,FENERBAHCE,1
KAYSERİ ERCİYESSPOR,1,KAYSERISPOR,1
ANTALYASPOR,2,BESIKTAS,0
KARDEMİR KARABÜKSPOR,0,BURSASPOR,1
KAYSERISPOR,0,GAZİANTEPSPOR,1
KONYASPOR,1,KAYSERİ ERCİYESSPOR,0
ESKİŞEHİRSPOR,0,BESIKTAS,1
KASIMPASA A.Ş.,4,SANİCA BORU ELAZIĞSPOR,0
AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,GALATASARAY,1
RIZESPOR,1,ANTALYASPOR,2
SIVASSPOR,2,GENÇLERBİRLİĞİ,0
FENERBAHCE,0,TRABZONSPOR,0
SANİCA BORU ELAZIĞSPOR,0,ESKİŞEHİRSPOR,2
GALATASARAY,2,KARDEMİR KARABÜKSPOR,1
GENÇLERBİRLİĞİ,1,KASIMPASA A.Ş.,3
TRABZONSPOR,0,SIVASSPOR,0
GAZİANTEPSPOR,3,KONYASPOR,3
KAYSERİ ERCİYESSPOR,1,FENERBAHCE,2
ANTALYASPOR,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
BURSASPOR,2,KAYSERISPOR,0
BESIKTAS,0,RIZESPOR,0
FENERBAHCE,3,GAZİANTEPSPOR,1
SIVASSPOR,2,KAYSERİ ERCİYESSPOR,0
KARDEMİR KARABÜKSPOR,1,ANTALYASPOR,1
SANİCA BORU ELAZIĞSPOR,1,GENÇLERBİRLİĞİ,2
AKHİSAR BELEDİYE GENÇLİK VE SPOR,3,BESIKTAS,3
ESKİŞEHİRSPOR,4,RIZESPOR,1
KONYASPOR,0,BURSASPOR,1
KAYSERISPOR,2,GALATASARAY,4
KASIMPASA A.Ş.,3,TRABZONSPOR,2
GALATASARAY,2,KONYASPOR,1
BURSASPOR,2,FENERBAHCE,3
KAYSERİ ERCİYESSPOR,0,KASIMPASA A.Ş.,3
TRABZONSPOR,4,SANİCA BORU ELAZIĞSPOR,0
RIZESPOR,0,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
BESIKTAS,0,KARDEMİR KARABÜKSPOR,0
ANTALYASPOR,2,KAYSERISPOR,2
GAZİANTEPSPOR,0,SIVASSPOR,4
GENÇLERBİRLİĞİ,2,ESKİŞEHİRSPOR,0
SANİCA BORU ELAZIĞSPOR,0,KAYSERİ ERCİYESSPOR,1
ESKİŞEHİRSPOR,2,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
KASIMPASA A.Ş.,3,GAZİANTEPSPOR,0
KAYSERISPOR,0,BESIKTAS,3
SIVASSPOR,2,BURSASPOR,1
KARDEMİR KARABÜKSPOR,2,RIZESPOR,1
KONYASPOR,2,ANTALYASPOR,0
GENÇLERBİRLİĞİ,3,TRABZONSPOR,2
FENERBAHCE,2,GALATASARAY,0
RIZESPOR,0,KAYSERISPOR,2
BURSASPOR,1,KASIMPASA A.Ş.,1
GALATASARAY,2,SIVASSPOR,1
KAYSERİ ERCİYESSPOR,1,GENÇLERBİRLİĞİ,0
GAZİANTEPSPOR,3,SANİCA BORU ELAZIĞSPOR,1
ANTALYASPOR,1,FENERBAHCE,2
TRABZONSPOR,1,ESKİŞEHİRSPOR,0
AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,KARDEMİR KARABÜKSPOR,1
BESIKTAS,3,KONYASPOR,1
SIVASSPOR,0,ANTALYASPOR,3
SANİCA BORU ELAZIĞSPOR,1,BURSASPOR,2
KAYSERISPOR,0,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
GENÇLERBİRLİĞİ,1,GAZİANTEPSPOR,3
FENERBAHCE,3,BESIKTAS,3
TRABZONSPOR,3,KAYSERİ ERCİYESSPOR,1
KASIMPASA A.Ş.,1,GALATASARAY,1
ESKİŞEHİRSPOR,0,KARDEMİR KARABÜKSPOR,0
KONYASPOR,2,RIZESPOR,1
GALATASARAY,2,SANİCA BORU ELAZIĞSPOR,0
RIZESPOR,1,FENERBAHCE,2
ANTALYASPOR,1,KASIMPASA A.Ş.,1
AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,KONYASPOR,1
KARDEMİR KARABÜKSPOR,1,KAYSERISPOR,0
BURSASPOR,0,GENÇLERBİRLİĞİ,0
GAZİANTEPSPOR,3,TRABZONSPOR,2
KAYSERİ ERCİYESSPOR,0,ESKİŞEHİRSPOR,2
BESIKTAS,1,SIVASSPOR,1
KONYASPOR,2,KARDEMİR KARABÜKSPOR,3
FENERBAHCE,4,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
SIVASSPOR,3,RIZESPOR,1
SANİCA BORU ELAZIĞSPOR,4,ANTALYASPOR,1
KAYSERISPOR,1,ESKİŞEHİRSPOR,1
GENÇLERBİRLİĞİ,1,GALATASARAY,1
GAZİANTEPSPOR,2,KAYSERİ ERCİYESSPOR,1
TRABZONSPOR,2,BURSASPOR,2
KASIMPASA A.Ş.,0,BESIKTAS,3
RIZESPOR,0,KASIMPASA A.Ş.,0
BESIKTAS,4,SANİCA BORU ELAZIĞSPOR,1
ESKİŞEHİRSPOR,2,GAZİANTEPSPOR,0
KAYSERISPOR,0,KONYASPOR,0
ANTALYASPOR,2,GENÇLERBİRLİĞİ,3
KARDEMİR KARABÜKSPOR,2,FENERBAHCE,1
GALATASARAY,2,TRABZONSPOR,1
AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,SIVASSPOR,1
BURSASPOR,3,KAYSERİ ERCİYESSPOR,1
GENÇLERBİRLİĞİ,1,BESIKTAS,0
KASIMPASA A.Ş.,2,AKHİSAR BELEDİYE GENÇLİK VE SPOR,4
SANİCA BORU ELAZIĞSPOR,1,RIZESPOR,0
GAZİANTEPSPOR,0,BURSASPOR,0
KAYSERİ ERCİYESSPOR,1,GALATASARAY,3
KONYASPOR,4,ESKİŞEHİRSPOR,1
SIVASSPOR,3,KARDEMİR KARABÜKSPOR,1
TRABZONSPOR,2,ANTALYASPOR,1
FENERBAHCE,5,KAYSERISPOR,1
KASIMPASA A.Ş.,0,KARDEMİR KARABÜKSPOR,0
GENÇLERBİRLİĞİ,3,RIZESPOR,1
BURSASPOR,3,ESKİŞEHİRSPOR,1
TRABZONSPOR,1,BESIKTAS,1
SIVASSPOR,3,KAYSERISPOR,0
SANİCA BORU ELAZIĞSPOR,2,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
KAYSERİ ERCİYESSPOR,1,ANTALYASPOR,3
GAZİANTEPSPOR,0,GALATASARAY,0
FENERBAHCE,2,KONYASPOR,1
BESIKTAS,3,KAYSERİ ERCİYESSPOR,2
KAYSERISPOR,0,KASIMPASA A.Ş.,0
ANTALYASPOR,0,GAZİANTEPSPOR,1
ESKİŞEHİRSPOR,2,FENERBAHCE,1
KARDEMİR KARABÜKSPOR,3,SANİCA BORU ELAZIĞSPOR,1
KONYASPOR,3,SIVASSPOR,0
AKHİSAR BELEDİYE GENÇLİK VE SPOR,3,GENÇLERBİRLİĞİ,1
GALATASARAY,6,BURSASPOR,0
RIZESPOR,0,TRABZONSPOR,0
KASIMPASA A.Ş.,1,KONYASPOR,3
GAZİANTEPSPOR,1,BESIKTAS,2
KAYSERİ ERCİYESSPOR,1,RIZESPOR,1
GALATASARAY,3,ESKİŞEHİRSPOR,0
SANİCA BORU ELAZIĞSPOR,3,KAYSERISPOR,0
SIVASSPOR,2,FENERBAHCE,0
TRABZONSPOR,2,AKHİSAR BELEDİYE GENÇLİK VE SPOR,4
BURSASPOR,1,ANTALYASPOR,1
GENÇLERBİRLİĞİ,1,KARDEMİR KARABÜKSPOR,2
RIZESPOR,5,GAZİANTEPSPOR,1
KAYSERISPOR,1,GENÇLERBİRLİĞİ,0
KARDEMİR KARABÜKSPOR,2,TRABZONSPOR,2
AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,KAYSERİ ERCİYESSPOR,2
BESIKTAS,1,BURSASPOR,0
FENERBAHCE,2,KASIMPASA A.Ş.,1
KONYASPOR,2,SANİCA BORU ELAZIĞSPOR,3
ANTALYASPOR,2,GALATASARAY,2
ESKİŞEHİRSPOR,2,SIVASSPOR,2
BURSASPOR,2,RIZESPOR,0
GAZİANTEPSPOR,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
KAYSERİ ERCİYESSPOR,2,KARDEMİR KARABÜKSPOR,1
GALATASARAY,1,BESIKTAS,0
GENÇLERBİRLİĞİ,2,KONYASPOR,2
KASIMPASA A.Ş.,6,SIVASSPOR,2
ANTALYASPOR,0,ESKİŞEHİRSPOR,0
TRABZONSPOR,2,KAYSERISPOR,1
SANİCA BORU ELAZIĞSPOR,1,FENERBAHCE,1
AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,BURSASPOR,1
BESIKTAS,0,ANTALYASPOR,0
KARDEMİR KARABÜKSPOR,0,GAZİANTEPSPOR,1
ESKİŞEHİRSPOR,0,KASIMPASA A.Ş.,0
FENERBAHCE,2,GENÇLERBİRLİĞİ,0
SIVASSPOR,1,SANİCA BORU ELAZIĞSPOR,3
KAYSERISPOR,0,KAYSERİ ERCİYESSPOR,4
KONYASPOR,0,TRABZONSPOR,0
RIZESPOR,1,GALATASARAY,1
SANİCA BORU ELAZIĞSPOR,0,KASIMPASA A.Ş.,0
BURSASPOR,1,KARDEMİR KARABÜKSPOR,0
KAYSERİ ERCİYESSPOR,1,KONYASPOR,0
GALATASARAY,6,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
GAZİANTEPSPOR,2,KAYSERISPOR,1
GENÇLERBİRLİĞİ,2,SIVASSPOR,1
ANTALYASPOR,1,RIZESPOR,2
BESIKTAS,1,ESKİŞEHİRSPOR,0
TRABZONSPOR,0,FENERBAHCE,3
KARDEMİR KARABÜKSPOR,0,GALATASARAY,0
KASIMPASA A.Ş.,1,GENÇLERBİRLİĞİ,2
AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,ANTALYASPOR,0
RIZESPOR,2,BESIKTAS,2
KONYASPOR,0,GAZİANTEPSPOR,1
ESKİŞEHİRSPOR,1,SANİCA BORU ELAZIĞSPOR,0
SIVASSPOR,0,TRABZONSPOR,4
FENERBAHCE,2,KAYSERİ ERCİYESSPOR,1
KAYSERISPOR,2,BURSASPOR,0
TRABZONSPOR,0,KASIMPASA A.Ş.,0
RIZESPOR,0,ESKİŞEHİRSPOR,0
BURSASPOR,1,KONYASPOR,2
ANTALYASPOR,0,KARDEMİR KARABÜKSPOR,0
GALATASARAY,0,KAYSERISPOR,1
GENÇLERBİRLİĞİ,3,SANİCA BORU ELAZIĞSPOR,1
KAYSERİ ERCİYESSPOR,1,SIVASSPOR,1
BESIKTAS,3,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
GAZİANTEPSPOR,0,FENERBAHCE,3
KASIMPASA A.Ş.,3,KAYSERİ ERCİYESSPOR,0
KARDEMİR KARABÜKSPOR,1,BESIKTAS,0
SIVASSPOR,3,GAZİANTEPSPOR,2
SANİCA BORU ELAZIĞSPOR,0,TRABZONSPOR,0
AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,RIZESPOR,3
KONYASPOR,0,GALATASARAY,0
KAYSERISPOR,3,ANTALYASPOR,1
FENERBAHCE,3,BURSASPOR,0
ESKİŞEHİRSPOR,0,GENÇLERBİRLİĞİ,1
GAZİANTEPSPOR,2,KASIMPASA A.Ş.,2
AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,ESKİŞEHİRSPOR,0
ANTALYASPOR,1,KONYASPOR,1
BESIKTAS,2,KAYSERISPOR,1
RIZESPOR,0,KARDEMİR KARABÜKSPOR,1
KAYSERİ ERCİYESSPOR,3,SANİCA BORU ELAZIĞSPOR,0
BURSASPOR,4,SIVASSPOR,3
GALATASARAY,1,FENERBAHCE,0
TRABZONSPOR,3,GENÇLERBİRLİĞİ,0
KONYASPOR,1,BESIKTAS,1
KASIMPASA A.Ş.,1,BURSASPOR,1
KARDEMİR KARABÜKSPOR,0,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2
KAYSERISPOR,0,RIZESPOR,2
SIVASSPOR,2,GALATASARAY,1
GENÇLERBİRLİĞİ,0,KAYSERİ ERCİYESSPOR,0
ESKİŞEHİRSPOR,2,TRABZONSPOR,2
FENERBAHCE,4,ANTALYASPOR,1
ELAZIĞSPOR,2,GAZİANTEPSPOR,1
KAYSERİ ERCİYESSPOR,0,TRABZONSPOR,5
GAZİANTEPSPOR,0,GENÇLERBİRLİĞİ,1
AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,KAYSERISPOR,2
GALATASARAY,0,KASIMPASA A.Ş.,4
BURSASPOR,1,ELAZIĞSPOR,0
RIZESPOR,3,KONYASPOR,1
BESIKTAS,1,FENERBAHCE,1
ANTALYASPOR,1,SIVASSPOR,2
KARDEMİR KARABÜKSPOR,0,ESKİŞEHİRSPOR,0
GENÇLERBİRLİĞİ,1,BURSASPOR,0
TRABZONSPOR,2,GAZİANTEPSPOR,1
KAYSERISPOR,1,KARDEMİR KARABÜKSPOR,3
KONYASPOR,4,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
ESKİŞEHİRSPOR,0,KAYSERİ ERCİYESSPOR,1
FENERBAHCE,0,RIZESPOR,0
SIVASSPOR,3,BESIKTAS,0
KASIMPASA A.Ş.,2,ANTALYASPOR,0
ELAZIĞSPOR,0,GALATASARAY,1
KARDEMİR KARABÜKSPOR,2,KONYASPOR,2
ESKİŞEHİRSPOR,1,KAYSERISPOR,4
ANTALYASPOR,1,ELAZIĞSPOR,2
KAYSERİ ERCİYESSPOR,1,GAZİANTEPSPOR,0
GALATASARAY,3,GENÇLERBİRLİĞİ,2
BESIKTAS,2,KASIMPASA A.Ş.,1
RIZESPOR,1,SIVASSPOR,1
BURSASPOR,2,TRABZONSPOR,2
AKHİSAR BELEDİYE GENÇLİK VE SPOR,3,FENERBAHCE,1
FENERBAHCE,4,KARDEMİR KARABÜKSPOR,0
GENÇLERBİRLİĞİ,1,ANTALYASPOR,2
SIVASSPOR,3,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
GAZİANTEPSPOR,1,ESKİŞEHİRSPOR,1
KAYSERİ ERCİYESSPOR,1,BURSASPOR,1
KONYASPOR,3,KAYSERISPOR,0
KASIMPASA A.Ş.,1,RIZESPOR,1
ELAZIĞSPOR,0,BESIKTAS,1
TRABZONSPOR,1,GALATASARAY,4
ESKİŞEHİRSPOR,1,KONYASPOR,1
KAYSERISPOR,0,FENERBAHCE,2
RIZESPOR,3,ELAZIĞSPOR,1
BURSASPOR,3,GAZİANTEPSPOR,1
GALATASARAY,2,KAYSERİ ERCİYESSPOR,1
BESIKTAS,1,GENÇLERBİRLİĞİ,1
ANTALYASPOR,0,TRABZONSPOR,2
AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,KASIMPASA A.Ş.,3
KARDEMİR KARABÜKSPOR,1,SIVASSPOR,0
BALIKESİRSPOR,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2
RIZESPOR,1,GENÇLERBİRLİĞİ,1
ESKİŞEHİRSPOR,2,KONYASPOR,1
BURSASPOR,0,GALATASARAY,2
BASAKSEHIR,1,KASIMPASA A.Ş.,1
MERSİN İDMANYURDU,0,BESIKTAS,1
KAYSERİ ERCİYESSPOR,0,TRABZONSPOR,0
SIVASSPOR,1,GAZİANTEPSPOR,2
FENERBAHCE,3,KARDEMİR KARABÜKSPOR,2
GENÇLERBİRLİĞİ,1,BURSASPOR,2
KARDEMİR KARABÜKSPOR,0,BASAKSEHIR,0
GALATASARAY,0,ESKİŞEHİRSPOR,0
KONYASPOR,2,BALIKESİRSPOR,0
KASIMPASA A.Ş.,2,MERSİN İDMANYURDU,2
TRABZONSPOR,0,FENERBAHCE,0
GAZİANTEPSPOR,2,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,2
AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,SIVASSPOR,2
BESIKTAS,1,RIZESPOR,1
ESKİŞEHİRSPOR,0,GENÇLERBİRLİĞİ,2
SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2
MERSİN İDMANYURDU,2,RIZESPOR,0
BALIKESİRSPOR,2,GALATASARAY,0
KASIMPASA A.Ş.,2,KARDEMİR KARABÜKSPOR,1
SIVASSPOR,0,KONYASPOR,0
FENERBAHCE,1,GAZİANTEPSPOR,0
BASAKSEHIR,1,TRABZONSPOR,1
BURSASPOR,0,BESIKTAS,1
GALATASARAY,2,SIVASSPOR,1
TRABZONSPOR,1,KASIMPASA A.Ş.,1
BESIKTAS,1,ESKİŞEHİRSPOR,1
RIZESPOR,0,BURSASPOR,1
KONYASPOR,1,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
GENÇLERBİRLİĞİ,3,BALIKESİRSPOR,1
AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,FENERBAHCE,0
KARDEMİR KARABÜKSPOR,0,MERSİN İDMANYURDU,2
GAZİANTEPSPOR,0,BASAKSEHIR,0
MERSİN İDMANYURDU,2,BURSASPOR,1
KASIMPASA A.Ş.,4,GAZİANTEPSPOR,2
SIVASSPOR,1,GENÇLERBİRLİĞİ,0
SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1,GALATASARAY,2
FENERBAHCE,2,KONYASPOR,1
BASAKSEHIR,4,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
KARDEMİR KARABÜKSPOR,3,TRABZONSPOR,0
ESKİŞEHİRSPOR,1,RIZESPOR,2
BALIKESİRSPOR,0,BESIKTAS,1
KONYASPOR,0,BASAKSEHIR,0
GAZİANTEPSPOR,1,KARDEMİR KARABÜKSPOR,0
GALATASARAY,2,FENERBAHCE,1
BURSASPOR,2,ESKİŞEHİRSPOR,2
TRABZONSPOR,3,MERSİN İDMANYURDU,1
BESIKTAS,3,SIVASSPOR,2
AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,KASIMPASA A.Ş.,0
GENÇLERBİRLİĞİ,0,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,0
RIZESPOR,2,BALIKESİRSPOR,2
KARDEMİR KARABÜKSPOR,2,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
KASIMPASA A.Ş.,2,KONYASPOR,0
SIVASSPOR,0,RIZESPOR,1
FENERBAHCE,2,GENÇLERBİRLİĞİ,1
BALIKESİRSPOR,0,BURSASPOR,5
MERSİN İDMANYURDU,4,ESKİŞEHİRSPOR,2
TRABZONSPOR,4,GAZİANTEPSPOR,4
BASAKSEHIR,4,GALATASARAY,0
SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,3,BESIKTAS,2
GALATASARAY,2,KASIMPASA A.Ş.,1
GENÇLERBİRLİĞİ,1,BASAKSEHIR,0
BURSASPOR,3,SIVASSPOR,0
AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,TRABZONSPOR,1
RIZESPOR,1,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
GAZİANTEPSPOR,1,MERSİN İDMANYURDU,0
BESIKTAS,0,FENERBAHCE,2
ESKİŞEHİRSPOR,2,BALIKESİRSPOR,2
KONYASPOR,1,KARDEMİR KARABÜKSPOR,0
SIVASSPOR,1,ESKİŞEHİRSPOR,1
GAZİANTEPSPOR,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
MERSİN İDMANYURDU,2,BALIKESİRSPOR,1
KARDEMİR KARABÜKSPOR,1,GALATASARAY,2
FENERBAHCE,2,RIZESPOR,1
SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1,BURSASPOR,1
KASIMPASA A.Ş.,2,GENÇLERBİRLİĞİ,2
TRABZONSPOR,3,KONYASPOR,2
BASAKSEHIR,1,BESIKTAS,2
RIZESPOR,0,BASAKSEHIR,2
AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,MERSİN İDMANYURDU,1
GALATASARAY,0,TRABZONSPOR,3
GENÇLERBİRLİĞİ,2,KARDEMİR KARABÜKSPOR,2
KONYASPOR,2,GAZİANTEPSPOR,0
ESKİŞEHİRSPOR,2,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
BESIKTAS,2,KASIMPASA A.Ş.,0
BALIKESİRSPOR,1,SIVASSPOR,3
BURSASPOR,1,FENERBAHCE,1
AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,KONYASPOR,0
BASAKSEHIR,0,BURSASPOR,0
KASIMPASA A.Ş.,3,RIZESPOR,1
SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,4,BALIKESİRSPOR,0
GAZİANTEPSPOR,0,GALATASARAY,1
MERSİN İDMANYURDU,2,SIVASSPOR,0
FENERBAHCE,2,ESKİŞEHİRSPOR,2
KARDEMİR KARABÜKSPOR,1,BESIKTAS,2
TRABZONSPOR,4,GENÇLERBİRLİĞİ,1
KONYASPOR,2,MERSİN İDMANYURDU,0
GENÇLERBİRLİĞİ,2,GAZİANTEPSPOR,0
BALIKESİRSPOR,0,FENERBAHCE,1
GALATASARAY,2,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
BURSASPOR,5,KASIMPASA A.Ş.,1
RIZESPOR,0,KARDEMİR KARABÜKSPOR,3
ESKİŞEHİRSPOR,0,BASAKSEHIR,1
BESIKTAS,3,TRABZONSPOR,0
SIVASSPOR,1,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
FENERBAHCE,4,SIVASSPOR,1
BASAKSEHIR,1,BALIKESİRSPOR,0
AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,GENÇLERBİRLİĞİ,1
KONYASPOR,0,GALATASARAY,5
KASIMPASA A.Ş.,1,ESKİŞEHİRSPOR,0
KARDEMİR KARABÜKSPOR,3,BURSASPOR,2
MERSİN İDMANYURDU,1,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
GAZİANTEPSPOR,0,BESIKTAS,1
TRABZONSPOR,3,RIZESPOR,2
SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,0,FENERBAHCE,1
SIVASSPOR,0,BASAKSEHIR,2
GENÇLERBİRLİĞİ,5,KONYASPOR,0
ESKİŞEHİRSPOR,1,KARDEMİR KARABÜKSPOR,1
GALATASARAY,3,MERSİN İDMANYURDU,2
BALIKESİRSPOR,5,KASIMPASA A.Ş.,3
BURSASPOR,3,TRABZONSPOR,3
BESIKTAS,3,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
RIZESPOR,0,GAZİANTEPSPOR,1
GENÇLERBİRLİĞİ,1,GALATASARAY,1
KARDEMİR KARABÜKSPOR,0,BALIKESİRSPOR,1
BASAKSEHIR,3,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
FENERBAHCE,1,MERSİN İDMANYURDU,0
GAZİANTEPSPOR,1,BURSASPOR,2
KASIMPASA A.Ş.,0,SIVASSPOR,0
AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,RIZESPOR,4
KONYASPOR,1,BESIKTAS,2
TRABZONSPOR,1,ESKİŞEHİRSPOR,4
RIZESPOR,1,KONYASPOR,1
BURSASPOR,3,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
FENERBAHCE,2,BASAKSEHIR,0
SIVASSPOR,2,KARDEMİR KARABÜKSPOR,0
SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,2,KASIMPASA A.Ş.,5
ESKİŞEHİRSPOR,1,GAZİANTEPSPOR,3
BESIKTAS,0,GALATASARAY,2
MERSİN İDMANYURDU,1,GENÇLERBİRLİĞİ,1
