ev,evGol,dep,depGol
DENİZLİSPOR,1,TRABZONSPOR,1
FENERBAHCE,0,DİYARBAKIRSPOR,0
ELAZIĞSPOR,1,ISTANBULSPOR,0
ADANASPOR A.Ş.,2,BURSASPOR,2
BESIKTAS,1,GALATASARAY,0
GALATASARAY,2,GAZİANTEPSPOR,1
DİYARBAKIRSPOR,1,ELAZIĞSPOR,2
ANKARAGUCU,1,DENİZLİSPOR,1
BURSASPOR,3,GENÇLERBİRLİĞİ,1
KOCAELİSPOR,1,ADANASPOR A.Ş.,2
ISTANBULSPOR,0,ALTAY,0
GÖZTEPE A.Ş.,1,FENERBAHCE,1
TRABZONSPOR,0,MALATYASPOR,2
SAMSUNSPOR,3,BESIKTAS,4
SAMSUNSPOR,1,BESIKTAS,3
KONYASPOR,3,TRABZONSPOR,3
GENÇLERBİRLİĞİ,2,ELAZIĞSPOR,3
GALATASARAY,2,DİYARBAKIRSPOR,1
BURSASPOR,0,GAZİANTEPSPOR,0
A.SEBATSPOR,0,DENİZLİSPOR,2
ADANASPOR A.Ş.,0,MALATYASPOR,1
RIZESPOR,2,ANKARAGUCU,1
FENERBAHCE,0,ISTANBULSPOR,3
TRABZONSPOR,0,FENERBAHCE,1
ISTANBULSPOR,1,ADANASPOR A.Ş.,0
DENİZLİSPOR,1,RIZESPOR,1
ANKARAGUCU,4,SAMSUNSPOR,2
BESIKTAS,1,BURSASPOR,0
ELAZIĞSPOR,0,KONYASPOR,0
DİYARBAKIRSPOR,3,GENÇLERBİRLİĞİ,2
MALATYASPOR,3,A.SEBATSPOR,1
GAZİANTEPSPOR,1,GALATASARAY,2
A.SEBATSPOR,1,ISTANBULSPOR,3
BURSASPOR,2,GALATASARAY,2
RIZESPOR,2,MALATYASPOR,1
ADANASPOR A.Ş.,0,TRABZONSPOR,1
FENERBAHCE,7,ELAZIĞSPOR,1
SAMSUNSPOR,2,DENİZLİSPOR,1
GENÇLERBİRLİĞİ,1,GAZİANTEPSPOR,0
BESIKTAS,3,ANKARAGUCU,0
KONYASPOR,3,DİYARBAKIRSPOR,1
DENİZLİSPOR,2,BESIKTAS,3
ELAZIĞSPOR,3,ADANASPOR A.Ş.,4
MALATYASPOR,5,SAMSUNSPOR,0
DİYARBAKIRSPOR,1,FENERBAHCE,2
