macNo,ev,evGol,dep,depGol
3269,GAZIANTEPFK,0,FENERBAHCE,3
3270,KASIMPASA,3,KAYSERİ ERCİYESSPOR,0
3271,KARDEMİR KARABÜKSPOR,1,BESIKTAS,0
3272,SIVASSPOR,3,GAZIANTEPFK,2
3273,SANİCA BORU ELAZIĞSPOR,0,TRABZONSPOR,0
3274,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,RIZESPOR,3
3275,KONYASPOR,0,GALATASARAY,0
3276,KAYSERISPOR,3,ANTALYASPOR,1
3277,FENERBAHCE,3,BURSASPOR,0
3278,ESKİŞEHİRSPOR,0,GENÇLERBİRLİĞİ,1
3279,GAZIANTEPFK,2,KASIMPASA,2
3280,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,ESKİŞEHİRSPOR,0
3281,ANTALYASPOR,1,KONYASPOR,1
3282,BESIKTAS,2,KAYSERISPOR,1
3283,RIZESPOR,0,KARDEMİR KARABÜKSPOR,1
3284,KAYSERİ ERCİYESSPOR,3,SANİCA BORU ELAZIĞSPOR,0
3285,BURSASPOR,4,SIVASSPOR,3
3286,GALATASARAY,1,FENERBAHCE,0
3287,TRABZONSPOR,3,GENÇLERBİRLİĞİ,0
3288,KONYASPOR,1,BESIKTAS,1
3289,KASIMPASA,1,BURSASPOR,1
3290,KARDEMİR KARABÜKSPOR,0,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2
3291,KAYSERISPOR,0,RIZESPOR,2
3292,SIVASSPOR,2,GALATASARAY,1
3293,GENÇLERBİRLİĞİ,0,KAYSERİ ERCİYESSPOR,0
3294,ESKİŞEHİRSPOR,2,TRABZONSPOR,2
3295,FENERBAHCE,4,ANTALYASPOR,1
3296,ELAZIĞSPOR,2,GAZIANTEPFK,1
3297,KAYSERİ ERCİYESSPOR,0,TRABZONSPOR,5
3298,GAZIANTEPFK,0,GENÇLERBİRLİĞİ,1
3299,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,KAYSERISPOR,2
3300,GALATASARAY,0,KASIMPASA,4
3301,BURSASPOR,1,ELAZIĞSPOR,0
3302,RIZESPOR,3,KONYASPOR,1
3303,BESIKTAS,1,FENERBAHCE,1
3304,ANTALYASPOR,1,SIVASSPOR,2
3305,KARDEMİR KARABÜKSPOR,0,ESKİŞEHİRSPOR,0
3306,GENÇLERBİRLİĞİ,1,BURSASPOR,0
3307,TRABZONSPOR,2,GAZIANTEPFK,1
3308,KAYSERISPOR,1,KARDEMİR KARABÜKSPOR,3
3309,KONYASPOR,4,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
3310,ESKİŞEHİRSPOR,0,KAYSERİ ERCİYESSPOR,1
3311,FENERBAHCE,0,RIZESPOR,0
3312,SIVASSPOR,3,BESIKTAS,0
3313,KASIMPASA,2,ANTALYASPOR,0
3314,ELAZIĞSPOR,0,GALATASARAY,1
3315,KARDEMİR KARABÜKSPOR,2,KONYASPOR,2
3316,ESKİŞEHİRSPOR,1,KAYSERISPOR,4
3317,ANTALYASPOR,1,ELAZIĞSPOR,2
3318,KAYSERİ ERCİYESSPOR,1,GAZIANTEPFK,0
3319,GALATASARAY,3,GENÇLERBİRLİĞİ,2
3320,BESIKTAS,2,KASIMPASA,1
3321,RIZESPOR,1,SIVASSPOR,1
3322,BURSASPOR,2,TRABZONSPOR,2
3323,AKHİSAR BELEDİYE GENÇLİK VE SPOR,3,FENERBAHCE,1
3324,FENERBAHCE,4,KARDEMİR KARABÜKSPOR,0
3325,GENÇLERBİRLİĞİ,1,ANTALYASPOR,2
3326,SIVASSPOR,3,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
3327,GAZIANTEPFK,1,ESKİŞEHİRSPOR,1
3328,KAYSERİ ERCİYESSPOR,1,BURSASPOR,1
3329,KONYASPOR,3,KAYSERISPOR,0
3330,KASIMPASA,1,RIZESPOR,1
3331,ELAZIĞSPOR,0,BESIKTAS,1
3332,TRABZONSPOR,1,GALATASARAY,4
3333,ESKİŞEHİRSPOR,1,KONYASPOR,1
3334,KAYSERISPOR,0,FENERBAHCE,2
3335,RIZESPOR,3,ELAZIĞSPOR,1
3336,BURSASPOR,3,GAZIANTEPFK,1
3337,GALATASARAY,2,KAYSERİ ERCİYESSPOR,1
3338,BESIKTAS,1,GENÇLERBİRLİĞİ,1
3339,ANTALYASPOR,0,TRABZONSPOR,2
3340,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,KASIMPASA,3
3341,KARDEMİR KARABÜKSPOR,1,SIVASSPOR,0
3342,BALIKESİRSPOR,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2
3343,RIZESPOR,1,GENÇLERBİRLİĞİ,1
3344,ESKİŞEHİRSPOR,2,KONYASPOR,1
3345,BURSASPOR,0,GALATASARAY,2
3346,BASAKSEHIR,1,KASIMPASA,1
3347,MERSİN İDMANYURDU,0,BESIKTAS,1
3348,KAYSERİ ERCİYESSPOR,0,TRABZONSPOR,0
3349,SIVASSPOR,1,GAZIANTEPFK,2
3350,FENERBAHCE,3,KARDEMİR KARABÜKSPOR,2
3351,GENÇLERBİRLİĞİ,1,BURSASPOR,2
3352,KARDEMİR KARABÜKSPOR,0,BASAKSEHIR,0
3353,GALATASARAY,0,ESKİŞEHİRSPOR,0
3354,KONYASPOR,2,BALIKESİRSPOR,0
3355,KASIMPASA,2,MERSİN İDMANYURDU,2
3356,TRABZONSPOR,0,FENERBAHCE,0
3357,GAZIANTEPFK,2,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,2
3358,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,SIVASSPOR,2
3359,BESIKTAS,1,RIZESPOR,1
3360,ESKİŞEHİRSPOR,0,GENÇLERBİRLİĞİ,2
3361,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2
3362,MERSİN İDMANYURDU,2,RIZESPOR,0
3363,BALIKESİRSPOR,2,GALATASARAY,0
3364,KASIMPASA,2,KARDEMİR KARABÜKSPOR,1
3365,SIVASSPOR,0,KONYASPOR,0
3366,FENERBAHCE,1,GAZIANTEPFK,0
3367,BASAKSEHIR,1,TRABZONSPOR,1
3368,BURSASPOR,0,BESIKTAS,1
3369,GALATASARAY,2,SIVASSPOR,1
3370,TRABZONSPOR,1,KASIMPASA,1
3371,BESIKTAS,1,ESKİŞEHİRSPOR,1
3372,RIZESPOR,0,BURSASPOR,1
3373,KONYASPOR,1,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
3374,GENÇLERBİRLİĞİ,3,BALIKESİRSPOR,1
3375,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,FENERBAHCE,0
3376,KARDEMİR KARABÜKSPOR,0,MERSİN İDMANYURDU,2
3377,GAZIANTEPFK,0,BASAKSEHIR,0
3378,MERSİN İDMANYURDU,2,BURSASPOR,1
3379,KASIMPASA,4,GAZIANTEPFK,2
3380,SIVASSPOR,1,GENÇLERBİRLİĞİ,0
3381,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1,GALATASARAY,2
3382,FENERBAHCE,2,KONYASPOR,1
3383,BASAKSEHIR,4,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
3384,KARDEMİR KARABÜKSPOR,3,TRABZONSPOR,0
3385,ESKİŞEHİRSPOR,1,RIZESPOR,2
3386,BALIKESİRSPOR,0,BESIKTAS,1
3387,KONYASPOR,0,BASAKSEHIR,0
3388,GAZIANTEPFK,1,KARDEMİR KARABÜKSPOR,0
3389,GALATASARAY,2,FENERBAHCE,1
3390,BURSASPOR,2,ESKİŞEHİRSPOR,2
3391,TRABZONSPOR,3,MERSİN İDMANYURDU,1
3392,BESIKTAS,3,SIVASSPOR,2
3393,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,KASIMPASA,0
3394,GENÇLERBİRLİĞİ,0,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,0
3395,RIZESPOR,2,BALIKESİRSPOR,2
3396,KARDEMİR KARABÜKSPOR,2,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
3397,KASIMPASA,2,KONYASPOR,0
3398,SIVASSPOR,0,RIZESPOR,1
3399,FENERBAHCE,2,GENÇLERBİRLİĞİ,1
3400,BALIKESİRSPOR,0,BURSASPOR,5
3401,MERSİN İDMANYURDU,4,ESKİŞEHİRSPOR,2
3402,TRABZONSPOR,4,GAZIANTEPFK,4
3403,BASAKSEHIR,4,GALATASARAY,0
3404,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,3,BESIKTAS,2
3405,GALATASARAY,2,KASIMPASA,1
3406,GENÇLERBİRLİĞİ,1,BASAKSEHIR,0
3407,BURSASPOR,3,SIVASSPOR,0
3408,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,TRABZONSPOR,1
3409,RIZESPOR,1,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
3410,GAZIANTEPFK,1,MERSİN İDMANYURDU,0
3411,BESIKTAS,0,FENERBAHCE,2
3412,ESKİŞEHİRSPOR,2,BALIKESİRSPOR,2
3413,KONYASPOR,1,KARDEMİR KARABÜKSPOR,0
3414,SIVASSPOR,1,ESKİŞEHİRSPOR,1
3415,GAZIANTEPFK,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
3416,MERSİN İDMANYURDU,2,BALIKESİRSPOR,1
3417,KARDEMİR KARABÜKSPOR,1,GALATASARAY,2
3418,FENERBAHCE,2,RIZESPOR,1
3419,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1,BURSASPOR,1
3420,KASIMPASA,2,GENÇLERBİRLİĞİ,2
3421,TRABZONSPOR,3,KONYASPOR,2
3422,BASAKSEHIR,1,BESIKTAS,2
3423,RIZESPOR,0,BASAKSEHIR,2
3424,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,MERSİN İDMANYURDU,1
3425,GALATASARAY,0,TRABZONSPOR,3
3426,GENÇLERBİRLİĞİ,2,KARDEMİR KARABÜKSPOR,2
3427,KONYASPOR,2,GAZIANTEPFK,0
3428,ESKİŞEHİRSPOR,2,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
3429,BESIKTAS,2,KASIMPASA,0
3430,BALIKESİRSPOR,1,SIVASSPOR,3
3431,BURSASPOR,1,FENERBAHCE,1
3432,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,KONYASPOR,0
3433,BASAKSEHIR,0,BURSASPOR,0
3434,KASIMPASA,3,RIZESPOR,1
3435,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,4,BALIKESİRSPOR,0
3436,GAZIANTEPFK,0,GALATASARAY,1
3437,MERSİN İDMANYURDU,2,SIVASSPOR,0
3438,FENERBAHCE,2,ESKİŞEHİRSPOR,2
3439,KARDEMİR KARABÜKSPOR,1,BESIKTAS,2
3440,TRABZONSPOR,4,GENÇLERBİRLİĞİ,1
3441,KONYASPOR,2,MERSİN İDMANYURDU,0
3442,GENÇLERBİRLİĞİ,2,GAZIANTEPFK,0
3443,BALIKESİRSPOR,0,FENERBAHCE,1
3444,GALATASARAY,2,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
3445,BURSASPOR,5,KASIMPASA,1
3446,RIZESPOR,0,KARDEMİR KARABÜKSPOR,3
3447,ESKİŞEHİRSPOR,0,BASAKSEHIR,1
3448,BESIKTAS,3,TRABZONSPOR,0
3449,SIVASSPOR,1,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
3450,FENERBAHCE,4,SIVASSPOR,1
3451,BASAKSEHIR,1,BALIKESİRSPOR,0
3452,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,GENÇLERBİRLİĞİ,1
3453,KONYASPOR,0,GALATASARAY,5
3454,KASIMPASA,1,ESKİŞEHİRSPOR,0
3455,KARDEMİR KARABÜKSPOR,3,BURSASPOR,2
3456,MERSİN İDMANYURDU,1,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
3457,GAZIANTEPFK,0,BESIKTAS,1
3458,TRABZONSPOR,3,RIZESPOR,2
3459,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,0,FENERBAHCE,1
3460,SIVASSPOR,0,BASAKSEHIR,2
3461,GENÇLERBİRLİĞİ,5,KONYASPOR,0
3462,ESKİŞEHİRSPOR,1,KARDEMİR KARABÜKSPOR,1
3463,GALATASARAY,3,MERSİN İDMANYURDU,2
3464,BALIKESİRSPOR,5,KASIMPASA,3
3465,BURSASPOR,3,TRABZONSPOR,3
3466,BESIKTAS,3,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
3467,RIZESPOR,0,GAZIANTEPFK,1
3468,GENÇLERBİRLİĞİ,1,GALATASARAY,1
3469,KARDEMİR KARABÜKSPOR,0,BALIKESİRSPOR,1
3470,BASAKSEHIR,3,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
3471,FENERBAHCE,1,MERSİN İDMANYURDU,0
3472,GAZIANTEPFK,1,BURSASPOR,2
3473,KASIMPASA,0,SIVASSPOR,0
3474,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,RIZESPOR,4
3475,KONYASPOR,1,BESIKTAS,2
3476,TRABZONSPOR,1,ESKİŞEHİRSPOR,4
3477,RIZESPOR,1,KONYASPOR,1
3478,BURSASPOR,3,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
3479,FENERBAHCE,2,BASAKSEHIR,0
3480,SIVASSPOR,2,KARDEMİR KARABÜKSPOR,0
3481,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,2,KASIMPASA,5
3482,ESKİŞEHİRSPOR,1,GAZIANTEPFK,3
3483,BESIKTAS,0,GALATASARAY,2
3484,MERSİN İDMANYURDU,1,GENÇLERBİRLİĞİ,1
3485,BALIKESİRSPOR,2,TRABZONSPOR,2
3486,KONYASPOR,2,BURSASPOR,3
3487,TRABZONSPOR,3,SIVASSPOR,1
3488,BASAKSEHIR,2,MERSİN İDMANYURDU,2
3489,GAZIANTEPFK,1,BALIKESİRSPOR,0
3490,KASIMPASA,0,FENERBAHCE,3
3491,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,ESKİŞEHİRSPOR,2
3492,KARDEMİR KARABÜKSPOR,1,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,2
3493,GALATASARAY,2,RIZESPOR,0
3494,GENÇLERBİRLİĞİ,0,BESIKTAS,2
3495,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,BALIKESİRSPOR,2
3496,TRABZONSPOR,2,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
3497,KASIMPASA,0,BASAKSEHIR,1
3498,GAZIANTEPFK,1,SIVASSPOR,3
3499,KARDEMİR KARABÜKSPOR,1,FENERBAHCE,2
3500,KONYASPOR,1,ESKİŞEHİRSPOR,0
3501,GENÇLERBİRLİĞİ,0,RIZESPOR,2
3502,BESIKTAS,2,MERSİN İDMANYURDU,1
3503,GALATASARAY,2,BURSASPOR,2
3504,BASAKSEHIR,2,KARDEMİR KARABÜKSPOR,2
3505,SIVASSPOR,2,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
3506,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,0,GAZIANTEPFK,1
3507,FENERBAHCE,0,TRABZONSPOR,0
3508,BALIKESİRSPOR,0,KONYASPOR,1
3509,MERSİN İDMANYURDU,6,KASIMPASA,2
3510,BURSASPOR,3,GENÇLERBİRLİĞİ,1
3511,RIZESPOR,1,BESIKTAS,2
3512,ESKİŞEHİRSPOR,1,GALATASARAY,2
3513,KARDEMİR KARABÜKSPOR,0,KASIMPASA,0
3514,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,0
3515,GAZIANTEPFK,0,FENERBAHCE,5
3516,RIZESPOR,0,MERSİN İDMANYURDU,4
3517,KONYASPOR,0,SIVASSPOR,1
3518,BESIKTAS,3,BURSASPOR,2
3519,TRABZONSPOR,3,BASAKSEHIR,2
3520,GENÇLERBİRLİĞİ,1,ESKİŞEHİRSPOR,2
3521,GALATASARAY,3,BALIKESİRSPOR,1
3522,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,3,KONYASPOR,0
3523,BASAKSEHIR,1,GAZIANTEPFK,0
3524,BURSASPOR,1,RIZESPOR,1
3525,SIVASSPOR,2,GALATASARAY,3
3526,MERSİN İDMANYURDU,2,KARDEMİR KARABÜKSPOR,1
3527,BALIKESİRSPOR,0,GENÇLERBİRLİĞİ,1
3528,KASIMPASA,1,TRABZONSPOR,1
3529,ESKİŞEHİRSPOR,1,BESIKTAS,0
3530,FENERBAHCE,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2
3531,GALATASARAY,3,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
3532,GENÇLERBİRLİĞİ,0,SIVASSPOR,0
3533,RIZESPOR,3,ESKİŞEHİRSPOR,0
3534,KONYASPOR,1,FENERBAHCE,1
3535,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,BASAKSEHIR,2
3536,GAZIANTEPFK,0,KASIMPASA,2
3537,BURSASPOR,2,MERSİN İDMANYURDU,1
3538,BESIKTAS,2,BALIKESİRSPOR,2
3539,TRABZONSPOR,3,KARDEMİR KARABÜKSPOR,2
3540,KASIMPASA,2,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2
3541,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,2,GENÇLERBİRLİĞİ,4
3542,BALIKESİRSPOR,2,RIZESPOR,2
3543,ESKİŞEHİRSPOR,0,BURSASPOR,0
3544,BASAKSEHIR,0,KONYASPOR,0
3545,SIVASSPOR,0,BESIKTAS,1
3546,KARDEMİR KARABÜKSPOR,0,GAZIANTEPFK,0
3547,FENERBAHCE,1,GALATASARAY,0
3548,MERSİN İDMANYURDU,1,TRABZONSPOR,5
3549,BURSASPOR,4,BALIKESİRSPOR,2
3550,KONYASPOR,2,KASIMPASA,1
3551,AKHİSAR BELEDİYE GENÇLİK VE SPOR,5,KARDEMİR KARABÜKSPOR,1
3552,RIZESPOR,2,SIVASSPOR,1
3553,GALATASARAY,2,BASAKSEHIR,2
3554,ESKİŞEHİRSPOR,2,MERSİN İDMANYURDU,0
3555,BESIKTAS,5,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
3556,GENÇLERBİRLİĞİ,2,FENERBAHCE,1
3557,GAZIANTEPFK,2,TRABZONSPOR,0
3558,KARDEMİR KARABÜKSPOR,0,KONYASPOR,1
3559,BALIKESİRSPOR,4,ESKİŞEHİRSPOR,1
3560,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,0,RIZESPOR,3
3561,MERSİN İDMANYURDU,0,GAZIANTEPFK,1
3562,SIVASSPOR,4,BURSASPOR,1
3563,KASIMPASA,2,GALATASARAY,3
3564,BASAKSEHIR,3,GENÇLERBİRLİĞİ,1
3565,TRABZONSPOR,2,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
3566,FENERBAHCE,1,BESIKTAS,0
3567,GENÇLERBİRLİĞİ,5,KASIMPASA,2
3568,BALIKESİRSPOR,1,MERSİN İDMANYURDU,3
3569,ESKİŞEHİRSPOR,1,SIVASSPOR,3
3570,RIZESPOR,1,FENERBAHCE,5
3571,BURSASPOR,3,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,0
3572,AKHİSAR BELEDİYE GENÇLİK VE SPOR,3,GAZIANTEPFK,0
3573,GALATASARAY,4,KARDEMİR KARABÜKSPOR,2
3574,KONYASPOR,1,TRABZONSPOR,0
3575,BESIKTAS,0,BASAKSEHIR,0
3576,GAZIANTEPFK,1,KONYASPOR,1
3577,KARDEMİR KARABÜKSPOR,2,GENÇLERBİRLİĞİ,1
3578,KASIMPASA,1,BESIKTAS,5
3579,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,0,ESKİŞEHİRSPOR,1
3580,SIVASSPOR,1,BALIKESİRSPOR,1
3581,BASAKSEHIR,3,RIZESPOR,1
3582,TRABZONSPOR,2,GALATASARAY,1
3583,FENERBAHCE,1,BURSASPOR,0
3584,MERSİN İDMANYURDU,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
3585,SIVASSPOR,1,MERSİN İDMANYURDU,2
3586,BURSASPOR,4,BASAKSEHIR,1
3587,RIZESPOR,1,KASIMPASA,3
3588,ESKİŞEHİRSPOR,1,FENERBAHCE,1
3589,BALIKESİRSPOR,1,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
3590,KONYASPOR,2,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
3591,GENÇLERBİRLİĞİ,1,TRABZONSPOR,1
3592,GALATASARAY,1,GAZIANTEPFK,0
3593,BESIKTAS,2,KARDEMİR KARABÜKSPOR,1
3594,BASAKSEHIR,1,ESKİŞEHİRSPOR,1
3595,MERSİN İDMANYURDU,3,KONYASPOR,1
3596,FENERBAHCE,4,BALIKESİRSPOR,3
3597,KARDEMİR KARABÜKSPOR,2,RIZESPOR,0
3598,KASIMPASA,5,BURSASPOR,3
3599,GAZIANTEPFK,0,GENÇLERBİRLİĞİ,3
3600,TRABZONSPOR,0,BESIKTAS,2
3601,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,GALATASARAY,2
3602,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,2,SIVASSPOR,3
3603,GALATASARAY,1,KONYASPOR,0
3604,ESKİŞEHİRSPOR,4,KASIMPASA,1
3605,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,2,MERSİN İDMANYURDU,2
3606,GENÇLERBİRLİĞİ,0,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
3607,BURSASPOR,7,KARDEMİR KARABÜKSPOR,1
3608,BALIKESİRSPOR,1,BASAKSEHIR,2
3609,SIVASSPOR,2,FENERBAHCE,3
3610,RIZESPOR,0,TRABZONSPOR,2
3611,BESIKTAS,1,GAZIANTEPFK,1
3612,BASAKSEHIR,2,SIVASSPOR,1
3613,KONYASPOR,1,GENÇLERBİRLİĞİ,0
3614,MERSİN İDMANYURDU,0,GALATASARAY,1
3615,KASIMPASA,2,BALIKESİRSPOR,3
3616,KARDEMİR KARABÜKSPOR,2,ESKİŞEHİRSPOR,2
3617,TRABZONSPOR,1,BURSASPOR,0
3618,FENERBAHCE,1,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,1
3619,GAZIANTEPFK,1,RIZESPOR,2
3620,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,BESIKTAS,1
3621,BALIKESİRSPOR,4,KARDEMİR KARABÜKSPOR,2
3622,SIVASSPOR,1,KASIMPASA,1
3623,GALATASARAY,1,GENÇLERBİRLİĞİ,0
3624,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,0,BASAKSEHIR,1
3625,BURSASPOR,2,GAZIANTEPFK,0
3626,ESKİŞEHİRSPOR,2,TRABZONSPOR,0
3627,MERSİN İDMANYURDU,0,FENERBAHCE,1
3628,RIZESPOR,3,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
3629,BESIKTAS,0,KONYASPOR,1
3630,GENÇLERBİRLİĞİ,1,MERSİN İDMANYURDU,2
3631,KASIMPASA,3,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,3
3632,KONYASPOR,1,RIZESPOR,1
3633,TRABZONSPOR,3,BALIKESİRSPOR,2
3634,KARDEMİR KARABÜKSPOR,2,SIVASSPOR,1
3635,GAZIANTEPFK,3,ESKİŞEHİRSPOR,2
3636,GALATASARAY,2,BESIKTAS,0
3637,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,BURSASPOR,1
3638,BASAKSEHIR,2,FENERBAHCE,2
3639,SUAT ALTIN İNŞAAT KAYSERİ ERCİYESSPOR,4,KARDEMİR KARABÜKSPOR,3
3640,BALIKESİRSPOR,1,GAZIANTEPFK,1
3641,ESKİŞEHİRSPOR,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR,3
3642,BESIKTAS,2,GENÇLERBİRLİĞİ,1
3643,RIZESPOR,1,GALATASARAY,1
3644,FENERBAHCE,2,KASIMPASA,0
3645,MERSİN İDMANYURDU,2,BASAKSEHIR,2
3646,BURSASPOR,0,KONYASPOR,0
3647,SIVASSPOR,1,TRABZONSPOR,1
3648,FENERBAHCE,2,ESKİŞEHİRSPOR,0
3649,TRABZONSPOR,1,BURSASPOR,0
3650,BASAKSEHIR,2,ANTALYASPOR,3
3651,SIVASSPOR,2,GALATASARAY,2
3652,KONYASPOR,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1
3653,OSMANLISPOR FUTBOL KULÜBÜ,1,KAYSERISPOR,1
3654,GAZIANTEPFK,0,KASIMPASA,3
3655,MERSİN İDMANYURDU,2,BESIKTAS,5
3656,GENÇLERBİRLİĞİ,2,RIZESPOR,3
3657,KASIMPASA,1,BASAKSEHIR,0
3658,KAYSERISPOR,1,KONYASPOR,1
3659,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,MERSİN İDMANYURDU,0
3660,BESIKTAS,1,TRABZONSPOR,2
3661,ESKİŞEHİRSPOR,4,SIVASSPOR,2
3662,BURSASPOR,0,GAZIANTEPFK,1
3663,ANTALYASPOR,3,GENÇLERBİRLİĞİ,1
3664,RIZESPOR,1,FENERBAHCE,1
3665,GALATASARAY,1,OSMANLISPOR FUTBOL KULÜBÜ,2
3666,GAZIANTEPFK,0,BESIKTAS,4
3667,GENÇLERBİRLİĞİ,1,KASIMPASA,0
3668,BASAKSEHIR,2,BURSASPOR,1
3669,KONYASPOR,1,GALATASARAY,4
3670,MERSİN İDMANYURDU,1,KAYSERISPOR,2
3671,TRABZONSPOR,2,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2
3672,ESKİŞEHİRSPOR,1,RIZESPOR,1
3673,SIVASSPOR,1,OSMANLISPOR FUTBOL KULÜBÜ,1
3674,FENERBAHCE,2,ANTALYASPOR,1
3675,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,GAZIANTEPFK,0
3676,BURSASPOR,3,GENÇLERBİRLİĞİ,2
3677,ANTALYASPOR,2,ESKİŞEHİRSPOR,0
3678,GALATASARAY,1,MERSİN İDMANYURDU,1
3679,BESIKTAS,2,BASAKSEHIR,0
3680,RIZESPOR,1,SIVASSPOR,1
3681,OSMANLISPOR FUTBOL KULÜBÜ,1,KONYASPOR,2
3682,KASIMPASA,0,FENERBAHCE,1
3683,KAYSERISPOR,0,TRABZONSPOR,1
3684,BASAKSEHIR,2,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0
3685,MERSİN İDMANYURDU,0,OSMANLISPOR FUTBOL KULÜBÜ,4
3686,RIZESPOR,5,ANTALYASPOR,1
3687,SIVASSPOR,0,KONYASPOR,0
3688,ESKİŞEHİRSPOR,0,KASIMPASA,3
3689,TRABZONSPOR,0,GALATASARAY,1
3690,GAZIANTEPFK,1,KAYSERISPOR,0
3691,FENERBAHCE,2,BURSASPOR,1
3692,GENÇLERBİRLİĞİ,1,BESIKTAS,1
3693,OSMANLISPOR FUTBOL KULÜBÜ,3,TRABZONSPOR,1
3694,GALATASARAY,2,GAZIANTEPFK,1
3695,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,GENÇLERBİRLİĞİ,0
3696,KONYASPOR,2,MERSİN İDMANYURDU,0
3697,ANTALYASPOR,1,SIVASSPOR,1
3698,BESIKTAS,3,FENERBAHCE,2
3699,KASIMPASA,1,RIZESPOR,1
3700,KAYSERISPOR,0,BASAKSEHIR,1
