macNo,ev,evGol,dep,depGol
246,GENÇLERBİRLİĞİ,2,ELAZIĞSPOR,0
247,SAMSUNSPOR,1,MALATYASPOR,1
248,DİYARBAKIRSPOR,2,TRABZONSPOR,0
249,KOCAELİSPOR,0,GAZIANTEPFK,3
250,ADANASPOR A.Ş.,5,ALTAY,2
251,BURSASPOR,2,DENİZLİSPOR,0
252,BESIKTAS,2,FENERBAHCE,0
253,ELAZIĞSPOR,0,BESIKTAS,1
254,ANKARAGUCU,3,DİYARBAKIRSPOR,1
255,DENİZLİSPOR,1,KOCAELİSPOR,2
256,FENERBAHCE,1,SAMSUNSPOR,1
257,ALTAY,3,GENÇLERBİRLİĞİ,3
258,TRABZONSPOR,0,GÖZTEPE A.Ş.,0
259,GAZIANTEPFK,4,ISTANBULSPOR,3
260,MALATYASPOR,4,BURSASPOR,2
261,GALATASARAY,2,ADANASPOR A.Ş.,2
262,BURSASPOR,2,FENERBAHCE,1
263,GENÇLERBİRLİĞİ,0,ADANASPOR A.Ş.,2
264,SAMSUNSPOR,4,ELAZIĞSPOR,3
265,ISTANBULSPOR,2,DENİZLİSPOR,1
266,BESIKTAS,2,ALTAY,0
267,DİYARBAKIRSPOR,0,GAZIANTEPFK,1
268,KOCAELİSPOR,2,MALATYASPOR,3
269,GÖZTEPE A.Ş.,0,ANKARAGUCU,1
270,TRABZONSPOR,1,GALATASARAY,2
271,FENERBAHCE,1,KOCAELİSPOR,0
272,ADANASPOR A.Ş.,0,BESIKTAS,1
273,ANKARAGUCU,2,TRABZONSPOR,0
274,GAZIANTEPFK,3,GÖZTEPE A.Ş.,1
275,ALTAY,2,SAMSUNSPOR,2
276,DENİZLİSPOR,2,DİYARBAKIRSPOR,0
277,MALATYASPOR,1,ISTANBULSPOR,2
278,ELAZIĞSPOR,2,BURSASPOR,1
279,GALATASARAY,1,GENÇLERBİRLİĞİ,1
280,TRABZONSPOR,2,GAZIANTEPFK,1
281,BURSASPOR,2,ALTAY,1
282,DİYARBAKIRSPOR,1,MALATYASPOR,1
283,SAMSUNSPOR,0,ADANASPOR A.Ş.,2
284,KOCAELİSPOR,1,ELAZIĞSPOR,3
285,ISTANBULSPOR,2,FENERBAHCE,0
286,GÖZTEPE A.Ş.,2,DENİZLİSPOR,3
287,GALATASARAY,3,ANKARAGUCU,0
288,GENÇLERBİRLİĞİ,1,BESIKTAS,2
289,MALATYASPOR,4,GÖZTEPE A.Ş.,1
290,ALTAY,5,KOCAELİSPOR,0
291,GENÇLERBİRLİĞİ,1,SAMSUNSPOR,1
292,GAZIANTEPFK,4,ANKARAGUCU,2
293,DENİZLİSPOR,1,TRABZONSPOR,1
294,FENERBAHCE,0,DİYARBAKIRSPOR,0
295,ELAZIĞSPOR,1,ISTANBULSPOR,0
296,ADANASPOR A.Ş.,2,BURSASPOR,2
297,BESIKTAS,1,GALATASARAY,0
298,GALATASARAY,2,GAZIANTEPFK,1
299,DİYARBAKIRSPOR,1,ELAZIĞSPOR,2
300,ANKARAGUCU,1,DENİZLİSPOR,1
301,BURSASPOR,3,GENÇLERBİRLİĞİ,1
302,KOCAELİSPOR,1,ADANASPOR A.Ş.,2
303,ISTANBULSPOR,0,ALTAY,0
304,GÖZTEPE A.Ş.,1,FENERBAHCE,1
305,TRABZONSPOR,0,MALATYASPOR,2
306,SAMSUNSPOR,3,BESIKTAS,4
307,SAMSUNSPOR,1,BESIKTAS,3
308,KONYASPOR,3,TRABZONSPOR,3
309,GENÇLERBİRLİĞİ,2,ELAZIĞSPOR,3
310,GALATASARAY,2,DİYARBAKIRSPOR,1
311,BURSASPOR,0,GAZIANTEPFK,0
312,A.SEBATSPOR,0,DENİZLİSPOR,2
313,ADANASPOR A.Ş.,0,MALATYASPOR,1
314,RIZESPOR,2,ANKARAGUCU,1
315,FENERBAHCE,0,ISTANBULSPOR,3
316,TRABZONSPOR,0,FENERBAHCE,1
317,ISTANBULSPOR,1,ADANASPOR A.Ş.,0
318,DENİZLİSPOR,1,RIZESPOR,1
319,ANKARAGUCU,4,SAMSUNSPOR,2
320,BESIKTAS,1,BURSASPOR,0
321,ELAZIĞSPOR,0,KONYASPOR,0
322,DİYARBAKIRSPOR,3,GENÇLERBİRLİĞİ,2
323,MALATYASPOR,3,A.SEBATSPOR,1
324,GAZIANTEPFK,1,GALATASARAY,2
325,A.SEBATSPOR,1,ISTANBULSPOR,3
326,BURSASPOR,2,GALATASARAY,2
327,RIZESPOR,2,MALATYASPOR,1
328,ADANASPOR A.Ş.,0,TRABZONSPOR,1
329,FENERBAHCE,7,ELAZIĞSPOR,1
330,SAMSUNSPOR,2,DENİZLİSPOR,1
331,GENÇLERBİRLİĞİ,1,GAZIANTEPFK,0
332,BESIKTAS,3,ANKARAGUCU,0
333,KONYASPOR,3,DİYARBAKIRSPOR,1
334,DENİZLİSPOR,2,BESIKTAS,3
335,ELAZIĞSPOR,3,ADANASPOR A.Ş.,4
336,MALATYASPOR,5,SAMSUNSPOR,0
337,DİYARBAKIRSPOR,1,FENERBAHCE,2
338,GAZIANTEPFK,3,KONYASPOR,1
339,ISTANBULSPOR,3,RIZESPOR,0
340,TRABZONSPOR,2,A.SEBATSPOR,1
341,GALATASARAY,2,GENÇLERBİRLİĞİ,1
342,ANKARAGUCU,2,BURSASPOR,0
343,BESIKTAS,3,MALATYASPOR,1
344,RIZESPOR,0,TRABZONSPOR,3
345,SAMSUNSPOR,3,ISTANBULSPOR,3
346,ADANASPOR A.Ş.,2,DİYARBAKIRSPOR,1
347,KONYASPOR,1,GALATASARAY,0
348,A.SEBATSPOR,3,ELAZIĞSPOR,1
349,ANKARAGUCU,1,DENİZLİSPOR,1
